name,data_center,building_address,building_city_state_postal,latitude,longitude
Amazon Web Services,Cirion Buenos Aires,Avenue del Campo 1301,"Buenos Aires, Argentina",-34.590404,-58.467110
Amazon Web Services,NEXTDC M1,826 Lorimer St,"Melbourne, VIC, Australia",-37.822020,144.932477
Amazon Web Services,NEXTDC P1,4 Millrose Dr,"Perth, WA, Australia",-31.864402,115.895935
IBM Cloud,Digital Realty SYD10,1-23 Templar Road,"Sydney, NSW, Australia",-33.816259,150.793554
Google Cloud,Digital Realty BRU1,Wezembeekstraat 2,"Zaventem, Belgium",50.871069,4.474127
Amazon Web Services,Equinix SP4,"Avenida Ceci, 1900 ","Barueri, Brazil",-23.493495,-46.809404
Tencent Cloud,Aligned São Paulo - SP-03,Alameda Araguacema 187,"Barueri, Brazil",-23.501976,-46.827318
Amazon Web Services,Equinix TR2,45 Parliament,"Toronto, ON, Canada",43.650928,-79.361776
Google Cloud,Cologix VAN2,1050 West Pender Street,"Vancouver, BC, Canada",49.287112,-123.119330
Oracle Cloud,EdgeConneX SCL01,Carretera General,"Colina, Chile",-33.343394,-70.697286
Alibaba Cloud,Beijing-Langfang-C,<address not available>,"Beijing, China",39.904030,116.407526
Huawei Cloud,CNISP Data Nest 3,"Huo Ma Road, Tongzhou District","Beijing, China",39.754889,116.668480
Tencent Cloud,ap-beijing-fsi-1,<address not available>,"Beijing, China",39.904030,116.407526
Tencent Cloud,GDS BJ2,KeChuang 3rd St,"Beijing, China",39.816861,116.518067
Tencent Cloud,GDS CD1,"Tiansheng Road, High-tech Industry West Park","Chengdu, China",30.572269,104.066541
Alibaba Cloud,Guangzhou-Huangpu-C,<address not available>,"Guangzhou, China",23.129110,113.264385
Huawei Cloud,Shenzhen-Yifeng,<address not available>,"Guangzhou, China",23.129110,113.264385
Huawei Cloud,Huawei Guiyang Gui'an Qixinghu,<address not available>,"Guiyang, China",26.647661,106.630153
Alibaba Cloud,Hangzhou-Yuhang-C,<address not available>,"Hangzhou, China",30.274085,120.155070
Alibaba Cloud,Global Switch Hong Kong,18 Chun Yat Street,"Hong Kong, China",22.287699,114.271727
Microsoft Azure,MEGA-i,399 Chai Wan Road,"Chai Wan, China",22.266098,114.246512
Alibaba Cloud,Qingdao-Laoshan-A,<address not available>,"Qingdao, China",36.087417,120.342734
Alibaba Cloud,Shanghai-Minhang-A,<address not available>,"Shanghai, China",31.247571,121.472587
Huawei Cloud,China Unicom Suzhou Wuzhong Guoke,<address not available>,"Suzhou, China",31.298880,120.585310
Huawei Cloud,Shanghai-Pudong-A,<address not available>,"Shanghai, China",31.247571,121.472587
Tencent Cloud,GDS KS1,Huaqiao International Commerce City ,"Kunshan, China",31.286253,121.154740
Tencent Cloud,ap-shenzhen-f-lj,<address not available>,"Shenzhen, China",22.543099,114.112556
Tencent Cloud,ap-wuhan-a-lkg,<address not available>,"Wuhan, China",30.592849,114.305539
Huawei Cloud,Equinix Bogota,<address not available>,"Bogotá, Colombia",4.598056,-74.075833
Amazon Web Services,Digital Realty MRS1,40 Avenue Roger Salengro,"Marseille, France",43.310924,5.372926
Microsoft Azure,Digital Realty PAR5,11-13 Avenue des Arts et Metiers,"Paris, France",48.914840,2.361694
Oracle Cloud,TELEHOUSE Paris (Voltaire),137 Boulevard Voltaire,"Paris, France",48.856014,2.383441
Amazon Web Services,Equinix FR5,Kleyerstrasse 90,"Frankfurt, Germany",50.098670,8.632260
Tencent Cloud,China Mobile Frankfurt,Starkenburgstrasse 12,"Mörfelden, Germany",49.986030,8.582890
Microsoft Azure,EdgeConneX MUC01,Marsstraße 5,"Munich, Germany",48.158582,11.768805
Amazon Web Services,STT Hyderabad DC1,Software Units Layout CFC-1,"Hyderabad, India",17.441018,78.377831
Amazon Web Services,Equinix MB2,"Plot 37, Chandivali Farm Road, Andheri East","Mumbai, India",19.109353,72.901441
Google Cloud,STT Delhi DC1,Videsh Sanchar Bhavan,"New Delhi, India",28.630859,77.207386
Huawei Cloud,JK5 Jakarta,<address not available>,"Jakarta, Indonesia",-6.171588,106.827868
Microsoft Azure,Equinix DB3,U2 North West Business Park,"Dublin, Ireland",53.407424,-6.345438
Microsoft Azure,Bezeq International Ha’Sivim,18 Hasivim Street ,"Petah Tikva, Israel",32.088476,34.853964
Microsoft Azure,Data4 Campus Milan,Via Monzoro 105,"Cornaredo, Italy",45.480963,9.030182
Alibaba Cloud,netXDC SI3,<address not available>,"Inzai, Japan",35.801655,140.129565
IBM Cloud,Equinix TY2,3-8-21 Higashishinagawa,"Tokyo, Japan",35.622100,139.749984
Tencent Cloud,Equinix TY11,1 Chome-2-41 Ariake,"Koto, Japan",35.639737,139.792362
Huawei Cloud,Nabiax Ixtlahuaca,Edificio tecnológico Ixtlahuaca,"Ixtlahuaca, Mexico",19.568475,-99.766891
Amazon Web Services,Digital Realty AMS7,Cessnalaan 50,"Schiphol-Rijk, Netherlands",52.282169,4.767912
Google Cloud,Vocus Auckland,7A Parkhead Pl,"Albany, New Zealand",-36.750412,174.696070
Alibaba Cloud,ePLDT Vitro Pasig,3F PLDT Bldg. Danny Floro St. corner CP Garcia St.,"Pasig, Philippines",14.571241,121.068983
Microsoft Azure,Ooredoo Mesaimeer (QDC5),Mesaimeer,"Doha, Qatar",25.198705,51.499240
Alibaba Cloud,Global Switch Singapore Tai Seng,2 Tai Seng Avenue,"Singapore, Singapore",1.336752,103.893589
Oracle Cloud,Cirion Buenos Aires,Avenue del Campo 1301,"Buenos Aires, Argentina",-34.590404,-58.467110
Google Cloud,Equinix ME1,578 Lorimer Street,"Port Melbourne, VIC, Australia",-37.823011,144.913195
Amazon Web Services,NEXTDC S2,6-8 Giffnock Avenue,"Sydney, NSW, Australia",-33.786009,151.125105
Microsoft Azure,Equinix SY2,639 Gardeners Road,"Mascot, NSW, Australia",-33.921390,151.188205
Oracle Cloud,Digital Realty VIN01,Av João Batista Nunes 50,"Vinhedo, Brazil",-23.071035,-47.014026
Google Cloud,Cirion São Paulo (Marginal 261),"Avenida Marginal, 261","São Paulo, Brazil",-23.632243,-46.582397
Oracle Cloud,Cologix MTL3,1250 René Lévesque Ouest,"Montreal, QC, Canada",45.497443,-73.570402
IBM Cloud,Equinix TR2,45 Parliament,"Toronto, ON, Canada",43.650928,-79.361776
Amazon Web Services,Cologix VAN3,2828 Natal Street,"Vancouver, BC, Canada",49.259384,-123.029622
Huawei Cloud,Nabiax Paine,"Avenida Presidente Prieto # 266, Paine","Santiago, Chile",-33.444000,-70.657521
Alibaba Cloud,Beijing-Shunyi-A,<address not available>,"Beijing, China",39.904030,116.407526
Amazon Web Services,CIDS Jiachuang IDC,21 Jiachuang 1st Road,"Beijing, China",39.817513,116.550305
Tencent Cloud,ap-beijing-bls-2,<address not available>,"Beijing, China",39.904030,116.407526
Tencent Cloud,ap-beijing-bls-1,<address not available>,"Beijing, China",39.904030,116.407526
Tencent Cloud,Telstra PBS CQCS1,"No 8, Yunhan Dadao","Chongqing, China",29.803448,106.526919
Huawei Cloud,China Telecom Guangzhou Yunpu,<address not available>,"Guangzhou, China",23.129110,113.264385
Huawei Cloud,Shenzhen-Nanshan,<address not available>,"Guangzhou, China",23.129110,113.264385
Huawei Cloud,21vianet Guiyang Xi'an,<address not available>,"Guiyang, China",26.647661,106.630153
Alibaba Cloud,Hangzhou-Xiaoshan-B,<address not available>,"Hangzhou, China",30.274085,120.155070
Tencent Cloud,ap-hangzhou-c-jg,<address not available>,"Hangzhou, China",30.274085,120.155070
Amazon Web Services,Equinix HK1,168 Yeung Uk Road ,"Hong Kong, China",22.365857,114.120285
Huawei Cloud,Global Switch Hong Kong Sai Kung,<address not available>,"Hong Kong, China",22.396428,114.109497
Alibaba Cloud,Alibaba China East 3 (Nanjing),<address not available>,"Nanjing, China",32.060255,118.796877
Alibaba Cloud,Shanghai-Fengxian-A,<address not available>,"Shanghai, China",31.247571,121.472587
Huawei Cloud,GDS KS3,<address not available>,"Kunshan, China",31.322107,120.703601
Huawei Cloud,Huawei Hangzhou Research Center,<address not available>,"Suzhou, China",31.298880,120.585310
Tencent Cloud,ap-shanghai-2,<address not available>,"Shanghai, China",31.247571,121.472587
Tencent Cloud,GDS SH2,"6-9 Huajing Road, Shanghai Waigaoqiao Free Trade Zone","Pudong, China",31.337508,121.591075
Tencent Cloud,Souidc Shenzhen Shahe,4 Shenyun Road ,"Shenzhen, China",22.548800,113.986482
Alibaba Cloud,China Telecom Xi’an,56 Gao Xin Lu,"Xi'an, China",34.235395,108.908963
Microsoft Azure,Equinix BG1,Carrera 106  ,"Bogotá, Colombia",4.684246,-74.140596
Google Cloud,Equinix HE7,Sinimaentie 8,"Helsinki, Finland",60.204035,24.772754
Amazon Web Services,TELEHOUSE Paris (Voltaire),137 Boulevard Voltaire,"Paris, France",48.856014,2.383441
Alibaba Cloud,Digital Realty FRA1,Hanauer Landstrasse 302-304,"Frankfurt, Germany",50.120070,8.735610
Microsoft Azure,Equinix FR7,Gutleutstrasse 310,"Frankfurt, Germany",50.096608,8.643450
Amazon Web Services,NTT NetMagic Bangalore 2,"112, 7th Cross Rd.","Bangalore, India",12.966202,77.671876
Amazon Web Services,STT Kolkata DC1,"1, Videsh Sanchar Bhavan, 18, CIT Rd","Kolkata, India",22.588269,88.390951
Google Cloud,STT Mumbai DC3,"C - 21 & C - 36, G Block, Bandra Kurla Complex","Mumbai, India",19.070910,72.873919
Tencent Cloud,NTT NetMagic Mumbai 5,Lighthall C Wing,"Mumbai, India",19.114623,72.890278
Alibaba Cloud,EdgeConneX JKT01,"Jl. Mataram no. 6A-6B, Lippo Cikarang","Jakarta, Indonesia",-6.345746,107.166354
Microsoft Azure,Digital Realty DUB2,24 Kavanagh Avenue,"Dublin, Ireland",53.331542,-6.364242
Google Cloud,Data4 Campus Milan,Via Monzoro 105,"Cornaredo, Italy",45.480963,9.030182
Amazon Web Services,Equinix OS1,"Shinmachi, 1 Chome−26−1","Osaka, Japan",34.675719,135.493392
Google Cloud,Digital Edge TYO2  (Nihonbashi),1-5-3 Horidome-cho,"Tokyo, Japan",35.683121,139.774578
IBM Cloud,Softbank Omiya Center,4-264-8 Kishiki-cho,"Saitama, Japan",35.896711,139.637114
Microsoft Azure,AIMS Kuala Lumpur 1-2,Menara Aik Hua,"Kuala Lumpur, Malaysia",3.149439,101.705977
Microsoft Azure,KIO QRO1,Cerrada de la Princesa 4,"Santiago de Querétaro, Mexico",20.588793,-100.389888
Oracle Cloud,Equinix AM4,Science Park 610,"Amsterdam, Netherlands",52.354449,4.954004
Microsoft Azure,Green Mountain SVG1-Rennesøy,Hodneveien 260,"Stavanger, Norway",59.069854,5.760676
Google Cloud,Equinix LS1,"Av. Severiano Falcão, 14","Lisbon, Portugal",38.787920,-9.123492
Microsoft Azure,Equinix SG1,20 Ayer Rajah Crescent,"Singapore, Singapore",1.295130,103.790313
Google Cloud,Cirion Buenos Aires,Avenue del Campo 1301,"Buenos Aires, Argentina",-34.590404,-58.467110
Google Cloud,NEXTDC B2,454 St Pauls Terrace,"Fortitude Valley, QLD, Australia",-27.453902,153.033201
Oracle Cloud,Equinix CA1,38 Vicars Street Mitchell ACT 2911,"Canberra, ACT, Australia",-35.211658,149.145298
Amazon Web Services,NEXTDC C1,19 Battye St,"Canberra, ACT, Australia",-35.246226,149.096414
Microsoft Azure,CDC FY 1,<address not available>,"Fyshwick, ACT, Australia",-35.329081,149.173278
Microsoft Azure,CDC HU1,<address not available>,"Hume, ACT, Australia",-35.383973,149.170059
Google Cloud,Equinix CA1,38 Vicars Street Mitchell ACT 2911,"Canberra, ACT, Australia",-35.211658,149.145298
Google Cloud,Equinix ME2,578 Lorimer Street,"Port Melbourne, VIC, Australia",-37.823011,144.913195
Microsoft Azure,NEXTDC M1,826 Lorimer St,"Melbourne, VIC, Australia",-37.822020,144.932477
Google Cloud,NEXTDC M2,75 Sharps Rd,"Melbourne, VIC, Australia",-37.708029,144.873505
Oracle Cloud,Equinix ME1,578 Lorimer Street,"Port Melbourne, VIC, Australia",-37.823011,144.913195
IBM Cloud,NEXTDC M1,826 Lorimer St,"Melbourne, VIC, Australia",-37.822020,144.932477
Amazon Web Services,Equinix ME2,578 Lorimer Street,"Port Melbourne, VIC, Australia",-37.823011,144.913195
Microsoft Azure,NEXTDC P1,4 Millrose Dr,"Perth, WA, Australia",-31.864402,115.895935
Google Cloud,Equinix PE2,37 Lemnos St,"Perth, WA, Australia",-31.954929,115.797330
Alibaba Cloud,Global Switch Sydney West,400 Harris Street,"Ultimo, NSW, Australia",-33.875499,151.197296
Amazon Web Services,Global Switch Sydney West,400 Harris Street,"Ultimo, NSW, Australia",-33.875499,151.197296
Alibaba Cloud,Equinix SY1,639 Gardeners Road,"Mascot, NSW, Australia",-33.921390,151.188205
Amazon Web Services,Equinix SY3,47 Bourke Road,"Alexandria, NSW, Australia",-33.912237,151.193755
Alibaba Cloud,Equinix SY4,200 Bourke Road,"Alexandria, NSW, Australia",-33.918214,151.189308
Google Cloud,NEXTDC S1,4 Eden Park Drive,"Sydney, NSW, Australia",-33.785066,151.131216
Google Cloud,Equinix SY3,47 Bourke Road,"Alexandria, NSW, Australia",-33.912237,151.193755
IBM Cloud,Equinix SY4,200 Bourke Road,"Alexandria, NSW, Australia",-33.918214,151.189308
IBM Cloud,Global Switch Sydney West,400 Harris Street,"Ultimo, NSW, Australia",-33.875499,151.197296
Oracle Cloud,Equinix SY4,200 Bourke Road,"Alexandria, NSW, Australia",-33.918214,151.189308
Microsoft Azure,NEXTDC S1,4 Eden Park Drive,"Sydney, NSW, Australia",-33.785066,151.131216
IBM Cloud,NEXTDC S1,4 Eden Park Drive,"Sydney, NSW, Australia",-33.785066,151.131216
Google Cloud,Digital Realty VIE2,Louis Haefliger Gasse 10,"Vienna, Austria",48.269762,16.410228
Amazon Web Services,Digital Realty VIE2,Louis Haefliger Gasse 10,"Vienna, Austria",48.269762,16.410228
Amazon Web Services,AWS Middle East (Bahrain),<address not available>,"Manama, Bahrain",26.229438,50.575955
Microsoft Azure,Digital Realty CPS01,"Av. Pierre Simon da Laplace, 1211","Campinas, Brazil",-22.848137,-47.153490
IBM Cloud,Digital Realty VIN01,Av João Batista Nunes 50,"Vinhedo, Brazil",-23.071035,-47.014026
Google Cloud,Equinix RJ2,Estrada Adhemar Bebiano 1380,"Rio de Janeiro, Brazil",-22.871520,-43.272836
Microsoft Azure,Equinix RJ2,Estrada Adhemar Bebiano 1380,"Rio de Janeiro, Brazil",-22.871520,-43.272836
Google Cloud,"CenturyLink Rio de Janeiro (Dom Pedro II, 329)","Av. Dom Pedro II, 329 - Sao Cristovao","Rio de Janeiro, Brazil",-22.905035,-43.220522
Amazon Web Services,Equinix RJ2,Estrada Adhemar Bebiano 1380,"Rio de Janeiro, Brazil",-22.871520,-43.272836
IBM Cloud,Aligned São Paulo - SP-01,"Estrada dos Romeiros, 943","Santana de Parnaiba, Brazil",-23.496225,-46.876923
Huawei Cloud,Aligned São Paulo - SP-01,"Estrada dos Romeiros, 943","Santana de Parnaiba, Brazil",-23.496225,-46.876923
Microsoft Azure,Equinix SP2,Alameda Araguaia 3641 - Alphaville,"Barueri, Brazil",-23.502700,-46.829444
Huawei Cloud,Equinix SP1,"Rua Dr. Miguel Cuoto, 58","São Paulo, Brazil",-23.546145,-46.635633
IBM Cloud,Digital Realty JDI01,"Rua Presbítero Plinio Alves de Souza, 757","Jundiaí, Brazil",-23.190848,-46.904894
IBM Cloud,Equinix SP4,"Avenida Ceci, 1900 ","Barueri, Brazil",-23.493495,-46.809404
Google Cloud,Digital Realty SP02,"A. Roberto Pinto Sobrinho, 350","Osasco, Brazil",-23.492254,-46.779420
Oracle Cloud,Equinix SP4,"Avenida Ceci, 1900 ","Barueri, Brazil",-23.493495,-46.809404
Google Cloud,Equinix SP4,"Avenida Ceci, 1900 ","Barueri, Brazil",-23.493495,-46.809404
Google Cloud,Digital Realty SP02,"A. Roberto Pinto Sobrinho, 350","Osasco, Brazil",-23.492254,-46.779420
Google Cloud,Telepoint Sofia Centre,122 Ovche Pole Street,"Sofia, Bulgaria",42.702605,23.305984
Google Cloud,Equinix SO2,33 Poruchik Nedelcho Bonchev Str,"Sofia, Bulgaria",42.675720,23.399309
Google Cloud,Equinix CL3,5300 86th Avenue SE,"Calgary, AB, Canada",50.975776,-113.962417
Amazon Web Services,eStruxture MTL 1,800 Square Victoria,"Montreal, QC, Canada",45.501517,-73.563601
Google Cloud,Cologix MTL3,1250 René Lévesque Ouest,"Montreal, QC, Canada",45.497443,-73.570402
Microsoft Azure,Cologix MTL3,1250 René Lévesque Ouest,"Montreal, QC, Canada",45.497443,-73.570402
IBM Cloud,Serverfarm TOR1 Toronto,300 Bartor Road,"Toronto, ON, Canada",43.729334,-79.529223
Google Cloud,Gtd Santiago (DC Panamericana),Conchalí,"Santiago, Chile",-33.398463,-70.683814
Alibaba Cloud,Beijing-Haidian-A,<address not available>,"Beijing, China",39.904030,116.407526
Huawei Cloud,China Telecom Beijing,"Yongcheng N Rd, Haidian","Beijing, China",40.073741,116.229184
Tencent Cloud,ap-beijing-2,<address not available>,"Beijing, China",39.904030,116.407526
Tencent Cloud,GDS BJ5,189 Changjin Rd,"Beijing, China",40.197270,116.213842
Tencent Cloud,ap-chengdu-b-gh,<address not available>,"Chengdu, China",30.670000,104.071022
Alibaba Cloud,Guangzhou-Development Zone-A,<address not available>,"Guangzhou, China",23.129110,113.264385
Tencent Cloud,GDS GZ1,31 Kefeng Rd,"Guangzhou, China",23.147914,113.455100
Huawei Cloud,China Telecom Guiyang Xi'an Xigang,<address not available>,"Guiyang, China",26.647661,106.630153
Alibaba Cloud,Hangzhou-Yuhang-E,<address not available>,"Hangzhou, China",30.274085,120.155070
Alibaba Cloud,Heyuan-Yuancheng-A,<address not available>,"Heyuan, China",23.730419,114.680023
Google Cloud,Equinix HK2,3 Shing Yiu Street,"Hong Kong, China",22.362494,114.118964
Tencent Cloud,Equinix HK5,299 Wan Po Road,"Tseung Kwan O, China",22.293141,114.274625
Alibaba Cloud,ap-cn-jinan-gx-A,<address not available>,"Jinan, China",36.655510,116.967010
Alibaba Cloud,GDS SH2,"6-9 Huajing Road, Shanghai Waigaoqiao Free Trade Zone","Pudong, China",31.337508,121.591075
Alibaba Cloud,Taicang-Huangjing-A,<address not available>,"Shanghai, China",31.247571,121.472587
Huawei Cloud,Shanghai-Jiading-A,<address not available>,"Shanghai, China",31.247571,121.472587
Tencent Cloud,GDS SH5,51 Daxiu Road,"Shanghai, China",31.236399,121.648949
Alibaba Cloud,Shenzhen-Baoan-B,<address not available>,"Shenzhen, China",22.543099,114.112556
Tencent Cloud,ap-xian-a-xx,<address not available>,"Xi'an, China",34.273010,108.928009
Google Cloud,Equinix BG1,Carrera 106  ,"Bogotá, Colombia",4.684246,-74.140596
Google Cloud,Arelion Helsinki,"Valimotie 5, 00380 ","Helsinki, Finland",60.216073,24.877807
Google Cloud,Global Switch Paris East,7-9 Rue Petit,"Clichy, France",48.899850,2.296090
Google Cloud,NTT GDC Berlin 1,Nonnendammallee 15,"Berlin, Germany",52.538479,13.237136
IBM Cloud,CyrusOne FRA1,Leonhard-Heisswolf Strasse 4,"Frankfurt, Germany",50.127830,8.581179
Microsoft Azure,Digital Realty FRA11,Weissmuellerstrasse 40,"Frankfurt, Germany",50.119750,8.736283
Amazon Web Services,Equinix MU1,Seidlstrasse 3,"Munich, Germany",48.143810,11.556020
Google Cloud,STT Hyderabad DC1,Software Units Layout CFC-1,"Hyderabad, India",17.441018,78.377831
Amazon Web Services,Sify Rabale,"Plot no. 847/1/2, TTC Industrial Area","Navi Mumbai, India",19.137142,73.017292
Google Cloud,Sify Noida,Sify Technologies Ltd. Plot Number B7,"Noida, India",28.513678,77.376944
Huawei Cloud,EDGE Jakarta,<address not available>,"Jakarta, Indonesia",-6.171588,106.827868
Amazon Web Services,MedOne Tirat Carmel Data Center (T2),Carmelin St 4,"Tirat Carmel, Israel",32.770198,34.966990
Google Cloud,IRIDEOS Avalon ,Caldera Park,"Milan, Italy",45.478992,9.102694
Microsoft Azure,Equinix OS1,"Shinmachi, 1 Chome−26−1","Osaka, Japan",34.675719,135.493392
Amazon Web Services,Equinix TY2,3-8-21 Higashishinagawa,"Tokyo, Japan",35.622100,139.749984
Microsoft Azure,Equinix TY4,1-9-5 Otemachi,"Chiyoda-ku, Japan",35.687421,139.765370
